Instance,Run,Pop Size,Mutation Rate,Crossover Rate,Crossover Op,Use Repair,Fitness,Time (s)
instance_10_hard.json,1,50,0.05,0.8,uniform,False,285,2.53
instance_10_hard.json,2,50,0.05,0.8,uniform,False,240,2.31
instance_10_hard.json,3,50,0.05,0.8,uniform,False,320,2.42
instance_10_hard.json,4,50,0.05,0.8,uniform,False,63,2.54
instance_10_hard.json,5,50,0.05,0.8,uniform,False,260,2.3
instance_10_hard.json,6,50,0.05,0.8,uniform,False,285,2.44
instance_10_hard.json,7,50,0.05,0.8,uniform,False,179,2.48
instance_10_hard.json,8,50,0.05,0.8,uniform,False,330,2.32
instance_10_hard.json,9,50,0.05,0.8,uniform,False,280,2.27
instance_10_hard.json,10,50,0.05,0.8,uniform,False,280,2.29
instance_1_easy.json,1,50,0.05,0.8,uniform,False,300,0.99
instance_1_easy.json,2,50,0.05,0.8,uniform,False,310,0.97
instance_1_easy.json,3,50,0.05,0.8,uniform,False,310,0.98
instance_1_easy.json,4,50,0.05,0.8,uniform,False,305,0.96
instance_1_easy.json,5,50,0.05,0.8,uniform,False,295,1.16
instance_1_easy.json,6,50,0.05,0.8,uniform,False,320,0.96
instance_1_easy.json,7,50,0.05,0.8,uniform,False,310,0.95
instance_1_easy.json,8,50,0.05,0.8,uniform,False,295,0.98
instance_1_easy.json,9,50,0.05,0.8,uniform,False,310,0.97
instance_1_easy.json,10,50,0.05,0.8,uniform,False,305,0.95
instance_2_easy.json,1,50,0.05,0.8,uniform,False,315,1.12
instance_2_easy.json,2,50,0.05,0.8,uniform,False,275,1.08
instance_2_easy.json,3,50,0.05,0.8,uniform,False,320,1.07
instance_2_easy.json,4,50,0.05,0.8,uniform,False,300,1.07
instance_2_easy.json,5,50,0.05,0.8,uniform,False,295,1.07
instance_2_easy.json,6,50,0.05,0.8,uniform,False,315,1.06
instance_2_easy.json,7,50,0.05,0.8,uniform,False,320,1.06
instance_2_easy.json,8,50,0.05,0.8,uniform,False,315,1.13
instance_2_easy.json,9,50,0.05,0.8,uniform,False,305,1.16
instance_2_easy.json,10,50,0.05,0.8,uniform,False,300,1.27
instance_3_easy.json,1,50,0.05,0.8,uniform,False,285,0.84
instance_3_easy.json,2,50,0.05,0.8,uniform,False,295,0.87
instance_3_easy.json,3,50,0.05,0.8,uniform,False,305,0.86
instance_3_easy.json,4,50,0.05,0.8,uniform,False,295,0.86
instance_3_easy.json,5,50,0.05,0.8,uniform,False,300,0.85
instance_3_easy.json,6,50,0.05,0.8,uniform,False,295,0.83
instance_3_easy.json,7,50,0.05,0.8,uniform,False,295,0.83
instance_3_easy.json,8,50,0.05,0.8,uniform,False,290,0.87
instance_3_easy.json,9,50,0.05,0.8,uniform,False,285,0.89
instance_3_easy.json,10,50,0.05,0.8,uniform,False,295,0.84
instance_4_easy.json,1,50,0.05,0.8,uniform,False,300,0.97
instance_4_easy.json,2,50,0.05,0.8,uniform,False,305,0.95
instance_4_easy.json,3,50,0.05,0.8,uniform,False,295,0.95
instance_4_easy.json,4,50,0.05,0.8,uniform,False,295,1.05
instance_4_easy.json,5,50,0.05,0.8,uniform,False,295,0.98
instance_4_easy.json,6,50,0.05,0.8,uniform,False,300,0.96
instance_4_easy.json,7,50,0.05,0.8,uniform,False,285,0.97
instance_4_easy.json,8,50,0.05,0.8,uniform,False,295,0.97
instance_4_easy.json,9,50,0.05,0.8,uniform,False,300,0.95
instance_4_easy.json,10,50,0.05,0.8,uniform,False,295,0.97
instance_5_moderate.json,1,50,0.05,0.8,uniform,False,365,1.35
instance_5_moderate.json,2,50,0.05,0.8,uniform,False,355,1.35
instance_5_moderate.json,3,50,0.05,0.8,uniform,False,350,1.34
