Instance,Pop Size,Mutation Rate,Max Evaluations,Crossover Operator,Best Fitness,Time (s)
easy,30,0.01,500,uniform,270,1.8
easy,30,0.01,500,single_point,310,1.88
easy,30,0.05,500,uniform,315,1.88
easy,30,0.05,500,single_point,315,1.9
easy,30,0.1,500,uniform,315,2.0
easy,30,0.1,500,single_point,315,1.95
easy,50,0.01,500,uniform,315,1.73
easy,50,0.01,500,single_point,287,1.74
easy,50,0.05,500,uniform,305,1.83
easy,50,0.05,500,single_point,290,1.6
easy,50,0.1,500,uniform,315,1.61
easy,50,0.1,500,single_point,300,1.64
easy,100,0.01,500,uniform,285,1.54
easy,100,0.01,500,single_point,295,1.54
easy,100,0.05,500,uniform,295,1.57
easy,100,0.05,500,single_point,290,1.61
easy,100,0.1,500,uniform,295,1.58
easy,100,0.1,500,single_point,300,1.52
medium,30,0.01,500,uniform,355,2.03
medium,30,0.01,500,single_point,345,2.02
medium,30,0.05,500,uniform,360,2.22
medium,30,0.05,500,single_point,360,2.12
medium,30,0.1,500,uniform,365,2.51
medium,30,0.1,500,single_point,365,2.12
medium,50,0.01,500,uniform,355,1.95
medium,50,0.01,500,single_point,345,1.94
medium,50,0.05,500,uniform,370,2.14
medium,50,0.05,500,single_point,370,1.98
medium,50,0.1,500,uniform,360,1.96
medium,50,0.1,500,single_point,350,2.32
medium,100,0.01,500,uniform,345,2.4
medium,100,0.01,500,single_point,350,2.03
medium,100,0.05,500,uniform,355,2.01
medium,100,0.05,500,single_point,345,1.95
medium,100,0.1,500,uniform,345,2.48
medium,100,0.1,500,single_point,335,2.1
hard,30,0.01,500,uniform,350,3.59
hard,30,0.01,500,single_point,290,3.33
hard,30,0.05,500,uniform,295,3.29
hard,30,0.05,500,single_point,315,3.37
hard,30,0.1,500,uniform,315,3.61
hard,30,0.1,500,single_point,310,3.43
hard,50,0.01,500,uniform,250,3.42
hard,50,0.01,500,single_point,285,3.36
hard,50,0.05,500,uniform,325,3.56
hard,50,0.05,500,single_point,290,3.69
hard,50,0.1,500,uniform,255,3.46
hard,50,0.1,500,single_point,305,3.47
hard,100,0.01,500,uniform,215,3.04
hard,100,0.01,500,single_point,225,3.22
hard,100,0.05,500,uniform,250,3.07
hard,100,0.05,500,single_point,260,3.07
hard,100,0.1,500,uniform,250,3.28
hard,100,0.1,500,single_point,270,3.31
