Student ID,Day,Time,Course ID,Room
1,Thursday,13:00,C1,R1
1,Monday,16:00,C3,R3
1,Wednesday,12:00,C4,R2
2,Thursday,13:00,C1,R1
2,Wednesday,11:00,C2,R2
2,Monday,16:00,C3,R3
3,Wednesday,11:00,C2,R2
3,Monday,16:00,C3,R3
3,Friday,12:00,C7,R1
4,Thursday,13:00,C1,R1
4,Wednesday,11:00,C2,R2
4,Monday,16:00,C3,R3
4,Wednesday,12:00,C4,R2
4,Tuesday,16:00,C6,R1
4,Friday,12:00,C7,R1
4,Thursday,14:00,C8,R4
4,Friday,13:00,C9,R5
5,Monday,16:00,C3,R3
5,Wednesday,12:00,C4,R2
5,Tuesday,16:00,C6,R1
5,Friday,12:00,C7,R1
6,Thursday,13:00,C1,R1
6,Wednesday,10:00,C5,R5
6,Tuesday,16:00,C6,R1
6,Thursday,14:00,C8,R4
6,Friday,13:00,C9,R5
7,Monday,16:00,C3,R3
7,Wednesday,12:00,C4,R2
7,Tuesday,16:00,C6,R1
7,Friday,12:00,C7,R1
8,Thursday,13:00,C1,R1
8,Wednesday,11:00,C2,R2
8,Monday,16:00,C3,R3
8,Wednesday,12:00,C4,R2
8,Tuesday,14:00,C10,R3
9,Thursday,13:00,C1,R1
9,Monday,16:00,C3,R3
9,Wednesday,12:00,C4,R2
9,Tuesday,16:00,C6,R1
10,Thursday,13:00,C1,R1
10,Friday,12:00,C7,R1
10,Tuesday,14:00,C10,R3
11,Wednesday,12:00,C4,R2
12,Thursday,13:00,C1,R1
12,Wednesday,10:00,C5,R5
12,Friday,13:00,C9,R5
13,Thursday,13:00,C1,R1
13,Wednesday,11:00,C2,R2
13,Tuesday,16:00,C6,R1
14,Wednesday,11:00,C2,R2
14,Monday,16:00,C3,R3
14,Wednesday,10:00,C5,R5
14,Thursday,14:00,C8,R4
14,Friday,13:00,C9,R5
14,Tuesday,14:00,C10,R3
15,Wednesday,11:00,C2,R2
15,Friday,12:00,C7,R1
15,Thursday,14:00,C8,R4
15,Friday,13:00,C9,R5
16,Monday,16:00,C3,R3
16,Wednesday,12:00,C4,R2
16,Tuesday,16:00,C6,R1
16,Friday,12:00,C7,R1
17,Wednesday,11:00,C2,R2
18,Thursday,13:00,C1,R1
18,Wednesday,11:00,C2,R2
18,Monday,16:00,C3,R3
18,Wednesday,10:00,C5,R5
18,Tuesday,16:00,C6,R1
18,Thursday,14:00,C8,R4
19,Wednesday,11:00,C2,R2
19,Thursday,14:00,C8,R4
20,Wednesday,11:00,C2,R2
20,Monday,16:00,C3,R3
20,Wednesday,12:00,C4,R2
20,Tuesday,16:00,C6,R1
21,Tuesday,16:00,C6,R1
21,Friday,12:00,C7,R1
21,Thursday,14:00,C8,R4
22,Wednesday,11:00,C2,R2
22,Monday,16:00,C3,R3
22,Tuesday,16:00,C6,R1
22,Thursday,14:00,C8,R4
23,Thursday,13:00,C1,R1
23,Wednesday,12:00,C4,R2
23,Friday,13:00,C9,R5
24,Thursday,13:00,C1,R1
24,Tuesday,14:00,C10,R3
25,Wednesday,11:00,C2,R2
25,Tuesday,16:00,C6,R1
25,Friday,12:00,C7,R1
26,Thursday,13:00,C1,R1
26,Monday,16:00,C3,R3
26,Friday,12:00,C7,R1
26,Thursday,14:00,C8,R4
26,Tuesday,14:00,C10,R3
27,Wednesday,10:00,C5,R5
27,Tuesday,16:00,C6,R1
28,Thursday,13:00,C1,R1
29,Monday,16:00,C3,R3
29,Tuesday,16:00,C6,R1
29,Friday,12:00,C7,R1
30,Thursday,13:00,C1,R1
30,Wednesday,11:00,C2,R2
30,Wednesday,12:00,C4,R2
30,Wednesday,10:00,C5,R5
30,Tuesday,16:00,C6,R1
30,Thursday,14:00,C8,R4
30,Friday,13:00,C9,R5
