Student ID,Day,Time,Course ID,Room
1,Thursday,17:00,C1,R2
1,Monday,09:00,C2,R3
1,Wednesday,11:00,C4,R2
1,Friday,09:00,C8,R5
1,Wednesday,12:00,C11,R3
1,Monday,10:00,C12,R3
1,Tuesday,14:00,C13,R2
2,Thursday,17:00,C1,R2
2,Monday,09:00,C2,R3
2,Wednesday,10:00,C5,R4
2,Friday,09:00,C8,R5
2,Friday,10:00,C10,R1
2,Tuesday,14:00,C13,R2
2,Thursday,15:00,C15,R5
3,Monday,09:00,C2,R3
3,Thursday,16:00,C9,R5
3,Wednesday,12:00,C11,R3
3,Monday,10:00,C12,R3
3,Tuesday,14:00,C13,R2
4,Wednesday,10:00,C5,R4
4,Wednesday,12:00,C11,R3
4,Monday,10:00,C12,R3
4,Tuesday,14:00,C13,R2
4,Thursday,15:00,C15,R5
5,Thursday,17:00,C1,R2
5,Tuesday,13:00,C6,R4
5,Friday,10:00,C10,R1
5,Thursday,15:00,C15,R5
6,Monday,09:00,C2,R3
6,Friday,11:00,C3,R5
6,Wednesday,12:00,C11,R3
6,Tuesday,14:00,C13,R2
6,Monday,11:00,C14,R3
6,Thursday,15:00,C15,R5
7,Thursday,17:00,C1,R2
7,Monday,09:00,C2,R3
7,Wednesday,11:00,C4,R2
7,Wednesday,10:00,C5,R4
7,Friday,09:00,C8,R5
7,Thursday,16:00,C9,R5
7,Friday,10:00,C10,R1
8,Friday,11:00,C3,R5
8,Tuesday,13:00,C6,R4
8,Friday,09:00,C8,R5
8,Thursday,16:00,C9,R5
8,Friday,10:00,C10,R1
8,Tuesday,14:00,C13,R2
8,Thursday,15:00,C15,R5
9,Monday,09:00,C2,R3
9,Friday,11:00,C3,R5
9,Wednesday,11:00,C4,R2
9,Tuesday,13:00,C6,R4
9,Friday,10:00,C10,R1
9,Monday,10:00,C12,R3
9,Thursday,15:00,C15,R5
10,Monday,09:00,C2,R3
10,Wednesday,11:00,C4,R2
10,Wednesday,10:00,C5,R4
10,Tuesday,13:00,C6,R4
10,Tuesday,12:00,C7,R3
10,Friday,10:00,C10,R1
10,Monday,10:00,C12,R3
11,Thursday,16:00,C9,R5
11,Monday,10:00,C12,R3
11,Tuesday,14:00,C13,R2
12,Friday,11:00,C3,R5
12,Tuesday,13:00,C6,R4
12,Friday,10:00,C10,R1
12,Monday,11:00,C14,R3
13,Thursday,17:00,C1,R2
13,Friday,11:00,C3,R5
13,Thursday,16:00,C9,R5
13,Monday,11:00,C14,R3
13,Thursday,15:00,C15,R5
14,Friday,11:00,C3,R5
14,Thursday,16:00,C9,R5
14,Monday,10:00,C12,R3
14,Tuesday,14:00,C13,R2
14,Thursday,15:00,C15,R5
15,Thursday,17:00,C1,R2
15,Friday,11:00,C3,R5
15,Wednesday,11:00,C4,R2
15,Tuesday,12:00,C7,R3
15,Thursday,16:00,C9,R5
15,Monday,10:00,C12,R3
16,Wednesday,10:00,C5,R4
16,Friday,09:00,C8,R5
16,Thursday,16:00,C9,R5
16,Monday,10:00,C12,R3
16,Monday,11:00,C14,R3
17,Thursday,17:00,C1,R2
17,Monday,09:00,C2,R3
17,Friday,11:00,C3,R5
17,Thursday,16:00,C9,R5
17,Monday,10:00,C12,R3
17,Thursday,15:00,C15,R5
18,Thursday,17:00,C1,R2
18,Monday,09:00,C2,R3
18,Thursday,16:00,C9,R5
18,Friday,10:00,C10,R1
18,Tuesday,14:00,C13,R2
19,Tuesday,12:00,C7,R3
19,Friday,09:00,C8,R5
19,Friday,10:00,C10,R1
20,Thursday,17:00,C1,R2
20,Monday,09:00,C2,R3
20,Wednesday,11:00,C4,R2
20,Tuesday,13:00,C6,R4
20,Tuesday,12:00,C7,R3
20,Friday,10:00,C10,R1
20,Wednesday,12:00,C11,R3
20,Tuesday,14:00,C13,R2
21,Thursday,17:00,C1,R2
21,Monday,09:00,C2,R3
21,Wednesday,11:00,C4,R2
21,Tuesday,13:00,C6,R4
21,Friday,10:00,C10,R1
21,Wednesday,12:00,C11,R3
21,Tuesday,14:00,C13,R2
22,Friday,11:00,C3,R5
22,Wednesday,10:00,C5,R4
22,Thursday,16:00,C9,R5
22,Tuesday,14:00,C13,R2
22,Monday,11:00,C14,R3
23,Thursday,17:00,C1,R2
23,Wednesday,11:00,C4,R2
23,Tuesday,13:00,C6,R4
23,Monday,10:00,C12,R3
23,Tuesday,14:00,C13,R2
24,Thursday,17:00,C1,R2
24,Wednesday,11:00,C4,R2
24,Wednesday,10:00,C5,R4
24,Friday,09:00,C8,R5
24,Friday,10:00,C10,R1
24,Monday,10:00,C12,R3
24,Tuesday,14:00,C13,R2
24,Thursday,15:00,C15,R5
25,Friday,09:00,C8,R5
25,Thursday,15:00,C15,R5
26,Thursday,17:00,C1,R2
26,Monday,09:00,C2,R3
26,Tuesday,12:00,C7,R3
26,Thursday,16:00,C9,R5
26,Wednesday,12:00,C11,R3
26,Tuesday,14:00,C13,R2
