Student ID,Day,Time,Course ID,Room
1,Tuesday,16:00,C2,R4
1,Thursday,16:00,C6,R5
1,Thursday,15:00,C10,R3
2,Tuesday,16:00,C2,R4
2,Friday,14:00,C3,R4
2,Wednesday,12:00,C4,R4
2,Wednesday,11:00,C5,R5
2,Monday,17:00,C8,R4
3,Tuesday,17:00,C1,R2
3,Wednesday,11:00,C5,R5
3,Thursday,16:00,C6,R5
3,Monday,17:00,C8,R4
4,Tuesday,16:00,C2,R4
4,Friday,14:00,C3,R4
4,Wednesday,12:00,C4,R4
4,Thursday,16:00,C6,R5
4,Friday,13:00,C9,R3
4,Thursday,15:00,C10,R3
5,Wednesday,12:00,C4,R4
5,Monday,17:00,C8,R4
6,Tuesday,17:00,C1,R2
6,Friday,14:00,C3,R4
6,Thursday,16:00,C6,R5
6,Friday,13:00,C9,R3
6,Thursday,15:00,C10,R3
7,Tuesday,17:00,C1,R2
7,Tuesday,16:00,C2,R4
7,Thursday,16:00,C6,R5
7,Monday,16:00,C7,R1
7,Monday,17:00,C8,R4
8,Tuesday,17:00,C1,R2
8,Wednesday,12:00,C4,R4
8,Thursday,15:00,C10,R3
9,Tuesday,16:00,C2,R4
9,Wednesday,12:00,C4,R4
9,Thursday,16:00,C6,R5
9,Monday,17:00,C8,R4
9,Friday,13:00,C9,R3
9,Thursday,15:00,C10,R3
10,Friday,14:00,C3,R4
10,Wednesday,12:00,C4,R4
10,Thursday,16:00,C6,R5
10,Monday,16:00,C7,R1
10,Thursday,15:00,C10,R3
11,Tuesday,17:00,C1,R2
11,Tuesday,16:00,C2,R4
11,Wednesday,11:00,C5,R5
11,Thursday,16:00,C6,R5
11,Monday,16:00,C7,R1
11,Friday,13:00,C9,R3
12,Tuesday,17:00,C1,R2
12,Monday,17:00,C8,R4
12,Friday,13:00,C9,R3
13,Tuesday,16:00,C2,R4
13,Wednesday,12:00,C4,R4
13,Thursday,16:00,C6,R5
13,Monday,17:00,C8,R4
13,Thursday,15:00,C10,R3
14,Tuesday,17:00,C1,R2
14,Wednesday,12:00,C4,R4
14,Thursday,15:00,C10,R3
15,Monday,17:00,C8,R4
15,Friday,13:00,C9,R3
15,Thursday,15:00,C10,R3
16,Tuesday,17:00,C1,R2
16,Tuesday,16:00,C2,R4
16,Friday,14:00,C3,R4
16,Wednesday,11:00,C5,R5
16,Friday,13:00,C9,R3
17,Tuesday,17:00,C1,R2
17,Tuesday,16:00,C2,R4
17,Monday,16:00,C7,R1
17,Monday,17:00,C8,R4
18,Tuesday,16:00,C2,R4
18,Friday,14:00,C3,R4
18,Wednesday,12:00,C4,R4
18,Wednesday,11:00,C5,R5
18,Monday,16:00,C7,R1
18,Monday,17:00,C8,R4
18,Thursday,15:00,C10,R3
19,Wednesday,12:00,C4,R4
19,Thursday,16:00,C6,R5
19,Monday,17:00,C8,R4
20,Tuesday,16:00,C2,R4
20,Wednesday,12:00,C4,R4
20,Monday,16:00,C7,R1
20,Monday,17:00,C8,R4
20,Friday,13:00,C9,R3
21,Tuesday,17:00,C1,R2
21,Monday,16:00,C7,R1
21,Thursday,15:00,C10,R3
22,Wednesday,12:00,C4,R4
22,Thursday,16:00,C6,R5
22,Monday,16:00,C7,R1
23,Tuesday,16:00,C2,R4
23,Wednesday,12:00,C4,R4
23,Thursday,16:00,C6,R5
24,Tuesday,17:00,C1,R2
24,Wednesday,12:00,C4,R4
24,Monday,17:00,C8,R4
24,Friday,13:00,C9,R3
25,Tuesday,17:00,C1,R2
25,Wednesday,11:00,C5,R5
25,Thursday,16:00,C6,R5
25,Monday,16:00,C7,R1
25,Friday,13:00,C9,R3
25,Thursday,15:00,C10,R3
26,Friday,13:00,C9,R3
26,Thursday,15:00,C10,R3
27,Tuesday,17:00,C1,R2
27,Friday,14:00,C3,R4
27,Monday,16:00,C7,R1
27,Friday,13:00,C9,R3
28,Tuesday,16:00,C2,R4
28,Wednesday,11:00,C5,R5
28,Thursday,16:00,C6,R5
28,Monday,16:00,C7,R1
28,Friday,13:00,C9,R3
29,Tuesday,17:00,C1,R2
29,Wednesday,12:00,C4,R4
29,Monday,17:00,C8,R4
30,Friday,14:00,C3,R4
30,Monday,17:00,C8,R4
