Student ID,Day,Time,Course ID,Room
1,Thursday,14:00,C1,R5
1,Thursday,15:00,C2,R1
1,Friday,12:00,C4,R5
1,Tuesday,16:00,C8,R5
1,Tuesday,13:00,C11,R3
1,Wednesday,09:00,C12,R2
1,Tuesday,14:00,C13,R2
2,Thursday,14:00,C1,R5
2,Thursday,15:00,C2,R1
2,Monday,11:00,C5,R3
2,Tuesday,16:00,C8,R5
2,Monday,12:00,C10,R5
2,Tuesday,14:00,C13,R2
2,Tuesday,15:00,C15,R1
3,Thursday,15:00,C2,R1
3,Wednesday,10:00,C9,R4
3,Tuesday,13:00,C11,R3
3,Wednesday,09:00,C12,R2
3,Tuesday,14:00,C13,R2
4,Monday,11:00,C5,R3
4,Tuesday,13:00,C11,R3
4,Wednesday,09:00,C12,R2
4,Tuesday,14:00,C13,R2
4,Tuesday,15:00,C15,R1
5,Thursday,14:00,C1,R5
5,Friday,11:00,C6,R3
5,Monday,12:00,C10,R5
5,Tuesday,15:00,C15,R1
6,Thursday,15:00,C2,R1
6,Friday,10:00,C3,R3
6,Tuesday,13:00,C11,R3
6,Tuesday,14:00,C13,R2
6,Wednesday,11:00,C14,R2
6,Tuesday,15:00,C15,R1
7,Thursday,14:00,C1,R5
7,Thursday,15:00,C2,R1
7,Friday,12:00,C4,R5
7,Monday,11:00,C5,R3
7,Tuesday,16:00,C8,R5
7,Wednesday,10:00,C9,R4
7,Monday,12:00,C10,R5
8,Friday,10:00,C3,R3
8,Friday,11:00,C6,R3
8,Tuesday,16:00,C8,R5
8,Wednesday,10:00,C9,R4
8,Monday,12:00,C10,R5
8,Tuesday,14:00,C13,R2
8,Tuesday,15:00,C15,R1
9,Thursday,15:00,C2,R1
9,Friday,10:00,C3,R3
9,Friday,12:00,C4,R5
9,Friday,11:00,C6,R3
9,Monday,12:00,C10,R5
9,Wednesday,09:00,C12,R2
9,Tuesday,15:00,C15,R1
10,Thursday,15:00,C2,R1
10,Friday,12:00,C4,R5
10,Monday,11:00,C5,R3
10,Friday,11:00,C6,R3
10,Thursday,13:00,C7,R4
10,Monday,12:00,C10,R5
10,Wednesday,09:00,C12,R2
11,Wednesday,10:00,C9,R4
11,Wednesday,09:00,C12,R2
11,Tuesday,14:00,C13,R2
12,Friday,10:00,C3,R3
12,Friday,11:00,C6,R3
12,Monday,12:00,C10,R5
12,Wednesday,11:00,C14,R2
13,Thursday,14:00,C1,R5
13,Friday,10:00,C3,R3
13,Wednesday,10:00,C9,R4
13,Wednesday,11:00,C14,R2
13,Tuesday,15:00,C15,R1
14,Friday,10:00,C3,R3
14,Wednesday,10:00,C9,R4
14,Wednesday,09:00,C12,R2
14,Tuesday,14:00,C13,R2
14,Tuesday,15:00,C15,R1
15,Thursday,14:00,C1,R5
15,Friday,10:00,C3,R3
15,Friday,12:00,C4,R5
15,Thursday,13:00,C7,R4
15,Wednesday,10:00,C9,R4
15,Wednesday,09:00,C12,R2
16,Monday,11:00,C5,R3
16,Tuesday,16:00,C8,R5
16,Wednesday,10:00,C9,R4
16,Wednesday,09:00,C12,R2
16,Wednesday,11:00,C14,R2
17,Thursday,14:00,C1,R5
17,Thursday,15:00,C2,R1
17,Friday,10:00,C3,R3
17,Wednesday,10:00,C9,R4
17,Wednesday,09:00,C12,R2
17,Tuesday,15:00,C15,R1
18,Thursday,14:00,C1,R5
18,Thursday,15:00,C2,R1
18,Wednesday,10:00,C9,R4
18,Monday,12:00,C10,R5
18,Tuesday,14:00,C13,R2
19,Thursday,13:00,C7,R4
19,Tuesday,16:00,C8,R5
19,Monday,12:00,C10,R5
20,Thursday,14:00,C1,R5
